epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,3210.95,0.8226,0.73462,0.87583,0.91814,0.86965,0.91439,0.71401,0.76332,0.62752,0.86087,0.000166712,0.000166712,0.000166712
66,3261.81,0.84648,0.75175,0.87817,0.89372,0.86844,0.91069,0.70604,0.76665,0.63403,0.86156,0.000162207,0.000162207,0.000162207
67,3311.2,0.83773,0.7506,0.87475,0.91283,0.87496,0.91534,0.71752,0.76012,0.62039,0.86023,0.000157703,0.000157703,0.000157703
68,3362.14,0.82273,0.73383,0.87202,0.91944,0.86782,0.91582,0.72216,0.76084,0.61846,0.86194,0.000153198,0.000153198,0.000153198
69,3412.4,0.84343,0.74205,0.87232,0.92612,0.87192,0.91806,0.72536,0.75831,0.61909,0.86149,0.000148694,0.000148694,0.000148694
70,3462.59,0.85535,0.74548,0.87595,0.91322,0.87583,0.91644,0.72113,0.76534,0.6127,0.86234,0.00014419,0.00014419,0.00014419
71,3511.66,0.84035,0.7246,0.87427,0.90375,0.88312,0.91655,0.72282,0.76152,0.61109,0.86252,0.000139685,0.000139685,0.000139685
72,3562.13,0.83141,0.73652,0.87958,0.90061,0.88405,0.91607,0.72145,0.75257,0.6164,0.8586,0.000135181,0.000135181,0.000135181
73,3612.3,0.80972,0.70581,0.86947,0.9057,0.88581,0.91582,0.7202,0.75178,0.61752,0.85598,0.000130676,0.000130676,0.000130676
74,3661.31,0.83314,0.73722,0.87466,0.91695,0.8837,0.91905,0.72576,0.7475,0.60755,0.85453,0.000126172,0.000126172,0.000126172
75,3710.26,0.83443,0.7199,0.87158,0.92,0.88052,0.91994,0.72569,0.75161,0.60667,0.85556,0.000121667,0.000121667,0.000121667
76,3758.86,0.81022,0.69786,0.87019,0.91612,0.88245,0.92051,0.72687,0.74798,0.6108,0.85518,0.000117163,0.000117163,0.000117163
77,3807.79,0.81886,0.70101,0.86649,0.91542,0.87788,0.9217,0.72237,0.75443,0.61017,0.85759,0.000112658,0.000112658,0.000112658
78,3855.83,0.82657,0.71522,0.86997,0.91666,0.88426,0.92358,0.7304,0.74919,0.60303,0.85709,0.000108154,0.000108154,0.000108154
79,3905.05,0.8256,0.70426,0.8698,0.92025,0.88138,0.92391,0.72959,0.74544,0.60074,0.85701,0.000103649,0.000103649,0.000103649
80,3953.99,0.85118,0.7254,0.87263,0.92005,0.887,0.92311,0.7296,0.74275,0.59697,0.8568,9.91445e-05,9.91445e-05,9.91445e-05
81,4001.42,0.82287,0.70862,0.86869,0.92287,0.88683,0.92181,0.73105,0.75064,0.59895,0.85783,9.464e-05,9.464e-05,9.464e-05
82,4051.99,0.82963,0.71602,0.86887,0.91842,0.88726,0.92321,0.73137,0.74519,0.59457,0.8563,9.01355e-05,9.01355e-05,9.01355e-05
83,4100.27,0.82523,0.7132,0.87192,0.92723,0.88454,0.92369,0.72958,0.74967,0.59346,0.8565,8.5631e-05,8.5631e-05,8.5631e-05
84,4146.9,0.80672,0.69263,0.86883,0.9261,0.88812,0.92476,0.7305,0.74812,0.59496,0.85625,8.11265e-05,8.11265e-05,8.11265e-05
85,4196.42,0.80749,0.69315,0.86801,0.92252,0.89345,0.92498,0.73242,0.74201,0.59408,0.85483,7.6622e-05,7.6622e-05,7.6622e-05
86,4246.16,0.82842,0.71714,0.87039,0.92696,0.89,0.92572,0.73042,0.74728,0.59001,0.85559,7.21175e-05,7.21175e-05,7.21175e-05
87,4294.43,0.81377,0.69821,0.86689,0.91588,0.89128,0.92471,0.73234,0.74657,0.58895,0.8556,6.7613e-05,6.7613e-05,6.7613e-05
88,4341.93,0.8124,0.68766,0.86706,0.91629,0.89295,0.92443,0.73564,0.7384,0.58665,0.85418,6.31085e-05,6.31085e-05,6.31085e-05
89,4390.66,0.82609,0.6987,0.86832,0.9217,0.89452,0.9245,0.7361,0.73785,0.58657,0.85385,5.8604e-05,5.8604e-05,5.8604e-05
90,4439.35,0.81157,0.68365,0.86506,0.91469,0.89231,0.92471,0.73368,0.74343,0.58775,0.85477,5.40995e-05,5.40995e-05,5.40995e-05
91,4485.4,0.77744,0.65992,0.86464,0.92121,0.8842,0.92342,0.73105,0.74695,0.5951,0.85536,4.9595e-05,4.9595e-05,4.9595e-05
92,4531.54,0.79059,0.66452,0.86297,0.92167,0.87445,0.9208,0.72924,0.75155,0.60799,0.85545,4.50905e-05,4.50905e-05,4.50905e-05
93,4576.67,0.79176,0.676,0.86777,0.91474,0.8722,0.918,0.72216,0.74667,0.61991,0.85438,4.0586e-05,4.0586e-05,4.0586e-05
94,4623.03,0.76774,0.6476,0.86219,0.89253,0.8859,0.91668,0.71714,0.75145,0.61826,0.85518,3.60815e-05,3.60815e-05,3.60815e-05
95,4668.99,0.77275,0.64842,0.85855,0.90771,0.88666,0.91923,0.72344,0.74551,0.60782,0.85378,3.1577e-05,3.1577e-05,3.1577e-05
96,4714.83,0.77009,0.63372,0.85675,0.91243,0.88599,0.92078,0.72644,0.74293,0.6044,0.85342,2.70725e-05,2.70725e-05,2.70725e-05
97,4760.27,0.76824,0.63786,0.86157,0.91483,0.88265,0.92182,0.72627,0.74258,0.60271,0.85351,2.2568e-05,2.2568e-05,2.2568e-05
98,4804.32,0.7625,0.63434,0.85577,0.92708,0.87937,0.92299,0.73052,0.73986,0.59693,0.85305,1.80635e-05,1.80635e-05,1.80635e-05
99,4847.24,0.76542,0.63235,0.8573,0.92457,0.87686,0.92278,0.73118,0.73978,0.59546,0.85315,1.3559e-05,1.3559e-05,1.3559e-05
100,4890.81,0.76215,0.63473,0.85647,0.92938,0.87479,0.92279,0.73196,0.73955,0.59467,0.85307,9.0545e-06,9.0545e-06,9.0545e-06
